Spanish,English
,de 14459520,of 14459520.
,que 14421005,that 14421005.
,no 12379505,No 12379505.
,a 9549646,A 9549646.
,la 9125471,9125471.
,el 7531226,The 7531226.
,y 7128745,and 7128745.
,es 6993497,ES 6993497.
,en 6817324,EN 6817324.
,lo 6041793,LO 6041793.
,un 5605577,A 5605577.
,por 4454673,by 4454673.
,qué 4166708,What 4166708.
,me 3927712,ME 3927712.
,una 3846322,A 3846322
,los 3069193,The 3069193.
,se 3058120,SE 3058120.
,te 3034375,te 3034375.
,con 3028045,With 3028045.
,para 2832100,For 2832100
,está 2433246,There is 2433246.
,mi 2403204,My 2403204.
,pero 2369484,But 2369484.
,sí 2350514,Yes 2350514.
,si 2348665,Yes 2348665.
,bien 2045290,Well 2045290
,eso 2029720,That 2029720.
,su 2005512,Its 2005512.
,las 2001203,2001203.
,yo 1915934,I 1915934.
,del 1647872,of 1647872.
,como 1630651,Like 1630651.
,aquí 1625090,Here 1625090
,tu 1618746,YOUR 1618746.
,al 1549489,to 1549489
,más 1503527,More 1503527.
,le,you
,esto 1297847,This 1297847.
,todo 1296897,All 1296897.
,ya 1115265,and 1115265.
,estoy 1092574,I'm 1092574.
,ahora 1088174,Now 1088174.
,muy 1086248,Very 1086248.
,ha 1071928,HA 1071928.
,esta 1051900,This 1051900
,así 1050332,So 1050332.
,vamos 1049315,Come on 1049315.
,algo 1039192,Something 1039192.
,hay 1014288,There are 1014288.
,bueno 1012700,Good 1012700.
,tengo 954371,I have 954371.
,él 931487,He 931487.
,cuando 931329,When 931329.
,estás 917354,You are 917354.
,sé 911639,I know 911639.
,tú 906053,You 906053.
,nos 866968,We 866968.
,nada 863844,Nothing 863844.
,cómo 862349,how 862349.
,este 858931,This 858931.
,o 843972,or 843972.
,he 820376,HA 820376.
,ser 819688,be 819688.
,tiene 807065,It has 807065.
,puedo 806048,I can 806048.
,ella 800671,She 800671.
,quiero 798831,I want 798831.
,hacer 794408,do 794408
,fue 781449,It was 781449.
,gracias 779503,Thank you 779503.
,vez 767227,time 767227.
,era 765725,It was 765725.
,soy 745166,I'm 745166.
,sólo 741588,Only 741588.
,todos 686692,All 686692.
,porque 685059,Because 685059.
,son 671394,They are 671394.
,tienes 670767,You have 670767.
,creo 651433,I think 651433.
,voy 639418,I go 639418.
,sabes 636739,You know 636739.
,estaba 636659,I was 636659.
